assumed_floor_fraction,below_minimum_effect_fraction,contrast_sd,correct_decisive_fraction,correlation,decision_method,effect_present_fraction,error_model,indeterminate_fraction,threshold_or_confidence,true_delta,truth_state,wrong_decisive_fraction
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,2.0,3.5,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,2.25,3.5,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,2.5,3.5,effect_present,0.0
1.0,0.0,,0.99726,,legacy_ratio,0.99726,independent_bounded,0.00274,2.75,3.5,effect_present,0.0
1.0,0.0,,0.957775,,legacy_ratio,0.957775,independent_bounded,0.042225,3.0,3.5,effect_present,0.0
1.0,0.0,,0.798725,,legacy_ratio,0.798725,independent_bounded,0.201275,3.25,3.5,effect_present,0.0
1.0,0.0,,0.50019,,legacy_ratio,0.50019,independent_bounded,0.49981,3.5,3.5,effect_present,0.0
1.0,0.0,,0.201645,,legacy_ratio,0.201645,independent_bounded,0.798355,3.75,3.5,effect_present,0.0
1.0,0.0,,0.041395,,legacy_ratio,0.041395,independent_bounded,0.958605,4.0,3.5,effect_present,0.0
1.0,0.0,,0.00251,,legacy_ratio,0.00251,independent_bounded,0.99749,4.25,3.5,effect_present,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,4.5,3.5,effect_present,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,4.75,3.5,effect_present,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,5.0,3.5,effect_present,0.0
1.0,0.0,,0.041395,,deterministic_interval,0.041395,independent_bounded,0.958605,,3.5,effect_present,0.0
0.9,0.0,,0.086625,,deterministic_interval,0.086625,independent_bounded,0.913375,,3.5,effect_present,0.0
0.75,0.0,,0.201645,,deterministic_interval,0.201645,independent_bounded,0.798355,,3.5,effect_present,0.0
0.5,0.0,,0.50019,,deterministic_interval,0.50019,independent_bounded,0.49981,,3.5,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,1.5,4.0,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,1.75,4.0,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,2.0,4.0,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,2.25,4.0,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,2.5,4.0,effect_present,0.0
