n,residual,elapsed_s,l2_error,minimum_conductivity,maximum_conductivity,pathway,sample,level
8,1.315464957736211e-15,0.0005253999988781288,,0.5557492478854859,1.0329700243852058,2,18,0
12,2.7772223967990034e-15,0.0005280999976093881,,0.5541163839811825,1.0553591562437667,2,18,1
16,4.953986358134297e-15,0.0006509999984700698,,0.5536027205037702,1.0702944071229854,2,18,2
24,1.1845946320664846e-14,0.0011635999981081113,,0.553254546663804,1.0828814217678213,2,18,3
32,2.2781406354144996e-14,0.0017751000013959128,,0.553136404797384,1.089679868749883,2,18,4
40,3.47150709187271e-14,0.002534499999455875,,0.5530823779285227,1.0939614649729172,2,18,5
48,4.8517660172270564e-14,0.0034993999979633372,,0.5530532043080849,1.0966611435892093,2,18,6
64,8.792886685660298e-14,0.006243100000574486,,0.5530243182450961,1.099862824974571,2,18,7
8,2.164534540198153e-15,0.0005082999996375293,,0.8899874735755494,1.648737291289491,2,19,0
12,3.8921635317799675e-15,0.0005485000001499429,,0.8637717216540525,1.6712489466952294,2,19,1
16,7.946290905616275e-15,0.0006723000005877111,,0.8519107660575547,1.6792936904579567,2,19,2
24,1.899857887332502e-14,0.0010880000008910429,,0.8408997783415888,1.6850934778981435,2,19,3
32,3.40301724316285e-14,0.0017659999975876417,,0.8357153764346934,1.6871340262851215,2,19,4
40,5.349282108544834e-14,0.003305700000055367,,0.8327077640321019,1.6880803813798686,2,19,5
48,7.343044795949981e-14,0.0036691000022983644,,0.8307456415889215,1.6885949483666522,2,19,6
64,1.3956601991373516e-13,0.00593980000121519,,0.8283222377526984,1.6891069393049436,2,19,7
8,1.4904253077079166e-15,0.0004938000020047184,,0.8484719323264013,0.977079657073025,2,20,0
12,3.323787319525314e-15,0.0005137000007380266,,0.8487614836739497,0.9887880643120138,2,20,1
16,5.65462380881372e-15,0.000674899998557521,,0.8492009579803598,0.9944001717720465,2,20,2
24,1.4766131438349958e-14,0.0010757000018202234,,0.8484719323264013,0.9997671608036128,2,20,3
32,2.59545029631366e-14,0.0019586000016715843,,0.8485225330290904,1.0023382546536652,2,20,4
40,4.045139469043519e-14,0.0024969999976747204,,0.8484719323264013,1.0038401322338266,2,20,5
48,5.5209133362877585e-14,0.0038264999966486357,,0.8483921168348312,1.0048232677871696,2,20,6
64,1.0450281546485338e-13,0.006092499999795109,,0.8483688096914627,1.0060308527945574,2,20,7
8,1.7350010095320548e-15,0.0004537999993772246,,0.9704113678048467,1.712524435956034,2,21,0
12,3.944591488724849e-15,0.00048439999955007806,,0.9434765053061516,1.7078920951120662,2,21,1
16,6.934274532406502e-15,0.0007449999975506216,,0.9312637004900636,1.7085595548825714,2,21,2
24,1.8192674170063657e-14,0.0012125000030209776,,0.9194757657320434,1.712524435956034,2,21,3
32,3.2270367551532185e-14,0.0018034999993687961,,0.9138030825846704,1.7123557027871954,2,21,4
40,5.2522704085904686e-14,0.002547500000218861,,0.9104677587778887,1.7129110171227426,2,21,5
48,7.066025311824549e-14,0.0037824999999429565,,0.9082720330555643,1.7128453272558686,2,21,6
64,1.304777844279762e-13,0.006059100000129547,,0.9055581256179306,1.7131179435170598,2,21,7
8,1.4516059906717368e-15,0.0006290999990596902,,0.7286108326049922,0.9699719323982792,2,22,0
12,3.1798948703122106e-15,0.0005122000002302229,,0.728035818228015,0.9810394723441814,2,22,1
16,5.775110962218569e-15,0.0006229999999050051,,0.7278686147134542,0.986786177520982,2,22,2
24,1.381718533891237e-14,0.0012395999983709771,,0.727760208674279,0.9928678478641257,2,22,3
32,2.3076290341172134e-14,0.0018592000014905352,,0.727724455597956,0.9955163049485107,2,22,4
40,3.989691954739286e-14,0.0024493999990227167,,0.7277082930973006,0.996974061039179,2,22,5
48,5.4355210095758316e-14,0.003544899998814799,,0.72769961605696,0.9978899362955591,2,22,6
64,1.0029339870485144e-13,0.006248999998206273,,0.7276879333801728,0.9989708201434608,2,22,7
8,1.0111756560930368e-15,0.0004934999997203704,,0.43151401465508404,1.1335278584666328,2,23,0
12,2.593756519962326e-15,0.0005210000017541461,,0.422479498947121,1.1776685066184656,2,23,1
16,4.065220740230227e-15,0.0006261999988055322,,0.4193285513655099,1.2001041966336006,2,23,2
24,9.841538135479547e-15,0.0011755999985325616,,0.4170815845388319,1.2241524952394158,2,23,3
32,1.9112706825324327e-14,0.0017971000015677419,,0.4162958913233029,1.235858131412515,2,23,4
40,3.0388812137712473e-14,0.0024752999997872394,,0.415932359836867,1.2430175849176512,2,23,5
48,4.373368167606508e-14,0.003449799998634262,,0.4157349211649576,1.2477741772152466,2,23,6
64,7.888873575319929e-14,0.006123000002844492,,0.4155386289475681,1.253728095693598,2,23,7
8,1.3217454567932744e-15,0.000522300000739051,,0.828809262470951,1.1497837700974727,2,24,0
12,3.4611597249526463e-15,0.000487299999804236,,0.8253960734759846,1.1490693571584394,2,24,1
